,0,p1,p2,p3,p4,p5,r1,r2,r3,r4,s1,s2,s3,s4
0,,12258.7,12173.3,11996.3,11840.9,11310.0,13323.5,11814.3,13017.9,11738.6,11817.0,11748.9,11617.4,11386.8
1,,12590.7,12116.5,12088.1,11890.2,11222.4,13400.5,11933.1,13282.9,11710.0,11837.8,11706.0,11620.5,11415.0
2,,12221.2,12092.3,12010.2,11845.1,11297.7,13177.6,11927.4,12931.6,11729.4,11868.5,11712.2,11636.9,11431.2
3,,12289.2,12199.8,11914.6,11763.9,11176.9,13209.1,11906.1,13214.2,11714.9,11817.1,11661.4,11591.6,11221.6
4,,12400.3,12131.7,12003.9,11713.4,11217.2,13250.5,12099.4,13132.0,11734.0,11980.6,11958.2,11642.4,11182.7
5,,12192.9,12485.9,11982.6,11655.5,11282.0,13310.2,11898.4,13278.8,11746.0,12171.4,11940.9,11388.8,11348.2
6,,12305.2,11971.5,11944.9,11665.1,11290.9,13372.2,12058.1,12922.0,11775.6,11833.4,12066.7,11573.9,11256.4
7,,12237.7,12152.4,11907.9,11615.6,11419.9,13395.0,11988.8,12961.3,11793.1,11811.8,12017.7,11538.2,11371.0
8,,12231.6,12053.0,11913.5,11544.9,11277.1,13137.2,11917.1,12886.4,11805.1,11847.5,12168.2,11497.2,11449.7
9,,12281.0,11990.4,11998.9,11471.9,11170.1,13015.5,11930.2,12857.6,11728.9,11912.5,12105.1,11643.6,11111.3
0,"
",,,,,,,,,,,,,
0,,5176.62,5364.32,4548.8,4128.2,3223.44,7707.22,4518.48,7496.59,4171.02,4886.01,4228.35,2539.14,2579.44
1,,5207.37,5347.93,4488.5,4097.64,3184.0,7795.95,4457.01,7584.08,4190.4,4927.69,4212.69,2600.26,2573.74
2,,5130.94,5394.63,4540.02,4063.69,3193.62,7818.67,4536.63,7593.22,4142.94,4911.74,4295.43,2604.1,2563.89
3,,5126.97,5394.95,4564.14,3968.19,3147.63,7708.08,4494.65,7622.49,4165.42,4949.94,4231.12,2607.0,2569.96
4,,5128.91,5494.14,4517.21,4017.46,3170.0,7639.65,4477.47,7722.46,4115.47,4935.12,4322.59,2629.37,2558.51
5,,5122.98,5492.99,4547.25,4011.52,3191.75,7778.46,4509.15,7758.76,4154.57,4880.61,4308.58,2534.02,2569.98
6,,5072.29,5391.91,4548.14,4014.95,3220.6,7715.62,4477.87,7662.74,4144.46,4894.61,4291.93,2564.03,2577.51
7,,5144.03,5319.18,4546.02,4013.23,3232.37,7700.91,4496.87,7546.7,4163.05,4971.57,4479.43,2570.66,2591.14
8,,5131.53,5321.39,4581.98,4003.26,3218.66,7617.73,4495.35,7555.75,4091.83,4893.86,4298.88,2601.81,2601.74
9,,5209.79,5289.35,4613.22,3989.52,3206.01,7652.28,4482.08,7538.1,4139.52,4945.79,4325.06,2620.77,2511.38
0,"
",,,,,,,,,,,,,
0,,29597.7,29663.9,28693.2,28220.4,26628.1,33091.7,28279.5,32612.8,27696.8,28488.2,27829.7,26299.1,26192.7
1,,30073.1,29520.7,28823.7,28463.2,26462.3,33315.6,28391.9,32873.6,27791.1,28532.9,27787.7,26487.8,26224.9
2,,29610.3,29673.3,28812.7,28261.1,26545.3,33075.0,28530.8,32490.8,27722.9,28699.7,27903.1,26494.7,26224.4
3,,29542.0,29758.0,28624.6,27901.8,26387.0,32997.9,28475.3,32831.6,27747.1,28584.2,27675.6,26283.1,25993.7
4,,30065.5,29847.1,28756.7,28010.8,26324.6,32956.2,28579.8,33038.4,27715.2,28733.8,28282.9,26600.6,26041.7
5,,29452.8,30426.5,28726.2,27839.0,26486.2,33308.4,28506.7,33233.9,27730.1,29015.0,28363.0,26116.6,26214.3
6,,29565.1,29571.3,28654.8,27850.8,26545.2,33166.8,28603.0,32779.8,27719.8,28524.6,28517.8,26128.9,26036.9
7,,29410.0,29636.2,28583.2,27811.1,26795.2,33236.8,28554.6,32764.2,27785.0,28633.9,28756.4,26147.2,26107.4
8,,29455.9,29449.5,28622.3,27660.0,26629.2,32716.6,28442.8,32312.2,27702.5,28565.3,28700.2,26132.6,26288.8
9,,29684.6,29316.0,28877.2,27519.6,26332.5,32641.2,28417.4,32299.8,27723.7,28810.4,28590.5,26533.3,25874.8
0,"
",,,,,,,,,,,,,
